names,word,n,total,tf,idf,tf_idf
Article 9,electric,4,897,0.008438818565400843,1.6094379124341003,0.013581754535308861
Article 9,leaf,4,897,0.008438818565400843,2.302585092994046,0.01943109783117338
Article 9,nissan,4,897,0.008438818565400843,2.302585092994046,0.01943109783117338
Article 9,produce,4,897,0.008438818565400843,2.302585092994046,0.01943109783117338
Article 9,projects,4,897,0.008438818565400843,1.2039728043259361,0.010160108053383425
Article 9,vehicle,4,897,0.008438818565400843,1.6094379124341003,0.013581754535308861
Article 1,toast,3,760,0.0075,2.302585092994046,0.017269388197455344
Article 1,u.s,3,760,0.0075,0.3566749439387324,0.002675062079540493
Article 1,vehicles,3,760,0.0075,1.2039728043259361,0.00902979603244452
Article 10,commonwealth,3,1234,0.004451038575667656,1.6094379124341003,0.007163670233386203
Article 10,director,3,1234,0.004451038575667656,0.9162907318741551,0.004078445394098613
Article 10,greg,3,1234,0.004451038575667656,2.302585092994046,0.010248895072673795
Article 10,haentjens,3,1234,0.004451038575667656,2.302585092994046,0.010248895072673795
Article 10,health,3,1234,0.004451038575667656,0.9162907318741551,0.004078445394098613
Article 10,lodge,3,1234,0.004451038575667656,2.302585092994046,0.010248895072673795
Article 10,methane,3,1234,0.004451038575667656,2.302585092994046,0.010248895072673795
Article 10,president,3,1234,0.004451038575667656,0.6931471805599453,0.0030852248392875905
Article 10,rao,3,1234,0.004451038575667656,2.302585092994046,0.010248895072673795
Article 10,stuart,3,1234,0.004451038575667656,1.6094379124341003,0.007163670233386203
Article 10,virginia,3,1234,0.004451038575667656,1.2039728043259361,0.005358929396109508
Article 10,walter,3,1234,0.004451038575667656,2.302585092994046,0.010248895072673795
Article 10,wetland,3,1234,0.004451038575667656,2.302585092994046,0.010248895072673795
Article 10,wetlands,3,1234,0.004451038575667656,1.6094379124341003,0.007163670233386203
Article 2,amy,3,931,0.006237006237006237,2.302585092994046,0.014361237586241452
Article 2,club,3,931,0.006237006237006237,2.302585092994046,0.014361237586241452
Article 2,community,3,931,0.006237006237006237,1.6094379124341003,0.010038074297925782
Article 2,crisis,3,931,0.006237006237006237,1.2039728043259361,0.007509185889766754
Article 2,flood,3,931,0.006237006237006237,1.6094379124341003,0.010038074297925782
