"chicagoDH","word","n","total","tf","idf","tf_idf"
"c1","weeks",1,805,0.00124223602484472,1.20397280432594,0.001495618390467
"c1","wilderness",1,805,0.00124223602484472,2.30258509299405,0.00286035415278763
"c1","winds",1,805,0.00124223602484472,2.30258509299405,0.00286035415278763
"c1","winters",1,805,0.00124223602484472,2.30258509299405,0.00286035415278763
"c1","words",1,805,0.00124223602484472,1.6094379124341,0.00199930175457652
"c1","wrote",1,805,0.00124223602484472,2.30258509299405,0.00286035415278763
"c1","yarnold",1,805,0.00124223602484472,2.30258509299405,0.00286035415278763
"c1","yellow",1,805,0.00124223602484472,2.30258509299405,0.00286035415278763
"c1","yielded",1,805,0.00124223602484472,2.30258509299405,0.00286035415278763
"c1","york",1,805,0.00124223602484472,0.510825623765991,0.000634565992255889
"c10","11",1,1031,0.000969932104752667,2.30258509299405,0.00223335120561983
"c10","16",1,1031,0.000969932104752667,2.30258509299405,0.00223335120561983
"c10","20",1,1031,0.000969932104752667,1.20397280432594,0.00116777187616483
"c10","250",1,1031,0.000969932104752667,2.30258509299405,0.00223335120561983
"c10","36",1,1031,0.000969932104752667,2.30258509299405,0.00223335120561983
"c10","44",1,1031,0.000969932104752667,2.30258509299405,0.00223335120561983
"c10","48",1,1031,0.000969932104752667,2.30258509299405,0.00223335120561983
"c10","52",1,1031,0.000969932104752667,2.30258509299405,0.00223335120561983
"c10","56",1,1031,0.000969932104752667,2.30258509299405,0.00223335120561983
"c10","58",1,1031,0.000969932104752667,2.30258509299405,0.00223335120561983
"c10","65",1,1031,0.000969932104752667,2.30258509299405,0.00223335120561983
"c10","70",1,1031,0.000969932104752667,2.30258509299405,0.00223335120561983
"c10","80",1,1031,0.000969932104752667,1.20397280432594,0.00116777187616483
"c10","accepting",1,1031,0.000969932104752667,2.30258509299405,0.00223335120561983
"c10","act",1,1031,0.000969932104752667,1.6094379124341,0.00156104550187595
"c10","activist",1,1031,0.000969932104752667,2.30258509299405,0.00223335120561983
"c10","activities",1,1031,0.000969932104752667,0.916290731874155,0.000888739798132061
"c10","activity",1,1031,0.000969932104752667,1.6094379124341,0.00156104550187595
"c10","affiliation",1,1031,0.000969932104752667,2.30258509299405,0.00223335120561983
"c10","age",1,1031,0.000969932104752667,2.30258509299405,0.00223335120561983
